region,year,total_volume
Albany,2015,4029896.43
Albany,2016,5264335.59
Albany,2017,5231581.78
Albany,2018,1541986.17
Atlanta,2015,23231698.12
Atlanta,2016,28326878.3
Atlanta,2017,28815119.98
Atlanta,2018,8231422.45
BaltimoreWashington,2015,40645579.54
BaltimoreWashington,2016,40893802.32
BaltimoreWashington,2017,41015634.46
BaltimoreWashington,2018,12158903.0
Boise,2015,3784357.34
Boise,2016,4653509.53
Boise,2017,4760561.31
Boise,2018,1214759.57
Boston,2015,27454991.64
Boston,2016,30571315.07
Boston,2017,30610672.16
Boston,2018,8637005.96
BuffaloRochester,2015,5893234.6
BuffaloRochester,2016,7205112.01
BuffaloRochester,2017,7740305.75
BuffaloRochester,2018,2123818.04
California,2015,301407433.11
California,2016,326188382.91
California,2017,317644528.21
California,2018,83741308.94
Charlotte,2015,9487343.42
Charlotte,2016,10586721.0
Charlotte,2017,11895590.4
Charlotte,2018,3585889.6
Chicago,2015,41494716.53
Chicago,2016,39612636.02
Chicago,2017,40980754.35
Chicago,2018,11614231.61
CincinnatiDayton,2015,11756176.0
CincinnatiDayton,2016,14020866.38
CincinnatiDayton,2017,15146677.9
CincinnatiDayton,2018,3598287.29
Columbus,2015,7849782.12
Columbus,2016,9059466.53
Columbus,2017,10240212.77
Columbus,2018,2843900.0
DallasFtWorth,2015,60311308.63
DallasFtWorth,2016,63695249.88
DallasFtWorth,2017,66240982.71
DallasFtWorth,2018,18171745.33
Denver,2015,39190343.42
Denver,2016,45307762.05
Denver,2017,42559077.12
Denver,2018,11845353.4
Detroit,2015,17979579.34
Detroit,2016,18907458.5
Detroit,2017,20512424.19
Detroit,2018,6022957.35
GrandRapids,2015,9740943.15
GrandRapids,2016,9146871.79
GrandRapids,2017,8754457.66
GrandRapids,2018,2569463.33
GreatLakes,2015,169387975.15
GreatLakes,2016,177740029.87
GreatLakes,2017,189353866.3
GreatLakes,2018,53160677.97
HarrisburgScranton,2015,11637904.91
HarrisburgScranton,2016,13124823.95
HarrisburgScranton,2017,13144317.98
HarrisburgScranton,2018,3901811.84
HartfordSpringfield,2015,15162242.99
HartfordSpringfield,2016,15697949.8
HartfordSpringfield,2017,15322604.02
HartfordSpringfield,2018,4487740.65
Houston,2015,55387471.37
Houston,2016,58704786.43
Houston,2017,69093092.89
Houston,2018,19982517.11
Indianapolis,2015,8189062.03
Indianapolis,2016,9164453.5
Indianapolis,2017,10001201.1
Indianapolis,2018,2908674.8
Jacksonville,2015,7176476.68
Jacksonville,2016,9711836.11
Jacksonville,2017,9193287.61
Jacksonville,2018,2708404.34
LasVegas,2015,15542428.66
LasVegas,2016,16907013.56
LasVegas,2017,17433832.68
LasVegas,2018,4493631.5
LosAngeles,2015,148220692.98
LosAngeles,2016,163142302.82
LosAngeles,2017,158481174.24
LosAngeles,2018,38052377.589999996
Louisville,2015,4289003.17
Louisville,2016,5076328.78
Louisville,2017,5260109.4399999995
Louisville,2018,1471561.01
MiamiFtLauderdale,2015,25166511.88
MiamiFtLauderdale,2016,31885060.49
MiamiFtLauderdale,2017,30880231.03
MiamiFtLauderdale,2018,9741420.63
Midsouth,2015,140221916.44
Midsouth,2016,154260497.59
Midsouth,2017,165553551.13
Midsouth,2018,48313392.04
Nashville,2015,8661916.15
Nashville,2016,10499174.9
Nashville,2017,12938644.83
Nashville,2018,3512353.35
NewOrleansMobile,2015,12664307.94
NewOrleansMobile,2016,14640366.08
NewOrleansMobile,2017,14326501.89
NewOrleansMobile,2018,4063960.67
NewYork,2015,70607635.91
NewYork,2016,71546563.14
NewYork,2017,74850673.31
NewYork,2018,23729255.169999998
Northeast,2015,203378985.68
Northeast,2016,218931085.83
Northeast,2017,224647301.21
Northeast,2018,66323536.839999996
NorthernNewEngland,2015,20094626.38
NorthernNewEngland,2016,22141808.0
NorthernNewEngland,2017,22660291.18
NorthernNewEngland,2018,6636168.55
Orlando,2015,14719576.09
Orlando,2016,19214786.8
Orlando,2017,18811402.03
Orlando,2018,5914938.97
Philadelphia,2015,20892219.99
