region,month,total_volume
Albany,2015-01,176518.01
Albany,2015-02,214704.25000000003
Albany,2015-03,260515.51
Albany,2015-04,199983.15
Albany,2015-05,495255.92
Albany,2015-06,412102.38
Albany,2015-07,441955.33
Albany,2015-08,458631.18
Albany,2015-09,355506.32
Albany,2015-10,289125.55
Albany,2015-11,404965.89999999997
Albany,2015-12,320632.93
Albany,2016-01,553390.87
Albany,2016-02,460531.33
Albany,2016-03,408795.02
Albany,2016-04,349324.03
Albany,2016-05,624854.35
Albany,2016-06,477947.13
Albany,2016-07,572140.71
Albany,2016-08,457420.5
Albany,2016-09,363149.61
Albany,2016-10,405937.39
Albany,2016-11,257315.46
Albany,2016-12,333529.19
Albany,2017-01,543588.25
Albany,2017-02,472880.45
Albany,2017-03,428037.49
Albany,2017-04,516521.16000000003
Albany,2017-05,459787.22
Albany,2017-06,375749.14999999997
Albany,2017-07,483870.08
Albany,2017-08,386046.24
Albany,2017-09,334812.67
Albany,2017-10,362382.61
Albany,2017-11,356351.09
Albany,2017-12,511555.37
Albany,2018-01,441899.93
Albany,2018-02,549317.65
Albany,2018-03,550768.59
Atlanta,2015-01,1728319.95
Atlanta,2015-02,1969062.33
Atlanta,2015-03,2236038.8
Atlanta,2015-04,1737202.75
Atlanta,2015-05,2667918.24
Atlanta,2015-06,2026686.24
Atlanta,2015-07,1991478.69
Atlanta,2015-08,2174571.0
Atlanta,2015-09,1799848.44
Atlanta,2015-10,1585945.33
Atlanta,2015-11,1806559.24
Atlanta,2015-12,1508067.11
Atlanta,2016-01,2450549.41
Atlanta,2016-02,2197858.4299999997
Atlanta,2016-03,2032269.91
Atlanta,2016-04,2214480.19
Atlanta,2016-05,3463166.5
Atlanta,2016-06,2661237.89
Atlanta,2016-07,2938170.17
Atlanta,2016-08,2331901.71
Atlanta,2016-09,2220143.56
Atlanta,2016-10,2250659.91
Atlanta,2016-11,1664207.14
Atlanta,2016-12,1902233.48
Atlanta,2017-01,3124351.9299999997
Atlanta,2017-02,2806439.68
Atlanta,2017-03,1963965.68
Atlanta,2017-04,2702186.05
Atlanta,2017-05,2421540.52
Atlanta,2017-06,2385469.8699999996
Atlanta,2017-07,2701116.4
Atlanta,2017-08,2045937.69
Atlanta,2017-09,1765310.55
Atlanta,2017-10,2206118.53
Atlanta,2017-11,1997682.44
Atlanta,2017-12,2695000.64
Atlanta,2018-01,2648430.61
Atlanta,2018-02,2859667.25
Atlanta,2018-03,2723324.59
BaltimoreWashington,2015-01,2883524.15
BaltimoreWashington,2015-02,3322598.5
BaltimoreWashington,2015-03,3673052.06
BaltimoreWashington,2015-04,3096270.52
BaltimoreWashington,2015-05,4483919.89
BaltimoreWashington,2015-06,3524850.73
BaltimoreWashington,2015-07,3358908.59
BaltimoreWashington,2015-08,4083070.86
BaltimoreWashington,2015-09,3199022.11
BaltimoreWashington,2015-10,3013250.0500000003
BaltimoreWashington,2015-11,3453340.85
BaltimoreWashington,2015-12,2553771.23
BaltimoreWashington,2016-01,4293032.8
BaltimoreWashington,2016-02,3564211.09
BaltimoreWashington,2016-03,3401178.32
BaltimoreWashington,2016-04,3411552.13
BaltimoreWashington,2016-05,4770762.29
BaltimoreWashington,2016-06,3471365.91
BaltimoreWashington,2016-07,3912270.1799999997
BaltimoreWashington,2016-08,3018169.11
BaltimoreWashington,2016-09,3142905.33
BaltimoreWashington,2016-10,3182947.67
BaltimoreWashington,2016-11,2256006.41
BaltimoreWashington,2016-12,2469401.08
BaltimoreWashington,2017-01,4107462.23
BaltimoreWashington,2017-02,3706621.2
BaltimoreWashington,2017-03,3197251.09
BaltimoreWashington,2017-04,3884708.28
BaltimoreWashington,2017-05,3454131.7
BaltimoreWashington,2017-06,3004755.75
BaltimoreWashington,2017-07,3565763.0
BaltimoreWashington,2017-08,2901299.61
BaltimoreWashington,2017-09,2916546.35
BaltimoreWashington,2017-10,3583770.42
BaltimoreWashington,2017-11,2799774.3
BaltimoreWashington,2017-12,3893550.5300000003
BaltimoreWashington,2018-01,4056382.4899999998
BaltimoreWashington,2018-02,3945429.08
BaltimoreWashington,2018-03,4157091.43
Boise,2015-01,274361.81
Boise,2015-02,329648.56
Boise,2015-03,357269.87
Boise,2015-04,329873.66000000003
Boise,2015-05,427096.83
Boise,2015-06,332292.26
Boise,2015-07,299214.01
Boise,2015-08,333470.4
Boise,2015-09,270813.89
Boise,2015-10,259941.55
Boise,2015-11,286783.22
Boise,2015-12,283591.28
Boise,2016-01,438643.08999999997
Boise,2016-02,391783.74
Boise,2016-03,395294.97
Boise,2016-04,384215.66
Boise,2016-05,454347.09
Boise,2016-06,439916.82
Boise,2016-07,491788.83999999997
Boise,2016-08,331224.58
Boise,2016-09,350374.32
Boise,2016-10,407630.94
Boise,2016-11,249253.11000000002
Boise,2016-12,319036.37
Boise,2017-01,512234.13
Boise,2017-02,457194.72000000003
Boise,2017-03,403309.92
Boise,2017-04,511634.72000000003
Boise,2017-05,419850.93
Boise,2017-06,393576.41
Boise,2017-07,451414.21
Boise,2017-08,333473.99
Boise,2017-09,259201.18000000002
Boise,2017-10,333302.16
Boise,2017-11,286574.7
