month,total_volume
2015-01,318085209.59000003
2015-02,362637599.23
2015-03,418583069.77
2015-04,344144395.15
2015-05,483784044.79
2015-06,381826743.71
2015-07,356701872.63
2015-08,419244814.82
2015-09,329218833.05
2015-10,305776111.02
2015-11,369440036.39
2015-12,296025931.89
2016-01,475405765.58
2016-02,428645801.98
2016-03,391212408.28000003
2016-04,401832751.79
2016-05,561230530.57
2016-06,410328154.08
2016-07,467275344.23
2016-08,370796966.98
2016-09,362303275.48
2016-10,360201804.28
2016-11,260209336.7
2016-12,331447751.88
2017-01,533333033.41
2017-02,471467199.84
2017-03,358903381.75
2017-04,489814529.54
2017-05,425730541.61
2017-06,410410650.95
2017-07,474903710.36
2017-08,338332990.18
2017-09,284779536.33
2017-10,362777956.74
2017-11,324519308.53
2017-12,459332860.03
2018-01,429707083.62
2018-02,497778196.42
2018-03,455268956.59999996
