Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
150,86,-0.22771640721428826,-0.2308159720360114,-0.1999021968853109,-0.21209136049959212,-0.23417028109650084,-0.23264650427562397,-0.22235201761713783,-0.1755796145322505,0,-1.2212820385676062,0
111,88,-0.23042663554195472,-0.23110251200429172,-0.20805446218132292,-0.2119967216235014,-0.23335028779804026,-0.231568381513163,-0.22233463766750677,-0.1755796145322505,0,-1.2212820385676062,0
72,46,-0.21208462202282627,-0.23100731489845847,-0.1544779032844675,-0.21132512991381944,-0.23472950985408036,-0.23339890517073644,-0.22231147806481447,-0.1755796145322505,0,-1.2212820385676062,0
33,61,-0.22344371559412635,-0.23074066497487805,-0.18535046262995009,-0.21186411552868406,-0.237096325515624,-0.23656822021815435,-0.22218596531535628,-0.1755796145322505,0,-1.2212820385676062,0
160,82,-0.2315378081917597,-0.2308912790971447,-0.20871921458537118,-0.21183433731791806,-0.23671832491992834,-0.23615428647906092,-0.22192391338613157,-0.1755796145322505,0,-1.2212820385676062,0
122,68,-0.2301073027684986,-0.23069934332795972,-0.2052065127936087,-0.212133701393025,-0.23621137683166418,-0.2353900918362828,-0.22221187127801387,-0.1755796145322505,0,-1.2212820385676062,0
83,261,-0.22215178750618705,-0.23055336968909487,-0.1839416695581739,-0.2116716738416088,-0.2345535746536749,-0.233191710467428,-0.22223396512907787,-0.1755796145322505,0,-1.2212820385676062,0
44,68,-0.21463044956872843,-0.23107921472220483,-0.1605690806720081,-0.21179506730247039,-0.2360640357909696,-0.2357782401543435,-0.22042907375607257,-0.1755796145322505,0,-1.2212820385676062,0
5,68,-0.21741517439859567,-0.23082750604841884,-0.17261122137400825,-0.21174537491325462,-0.23144117134755662,-0.22929478819896754,-0.22157082167358005,-0.1755796145322505,0,-1.2212820385676062,0
138,260,-0.2247911765432312,-0.2309696060299296,-0.19134584962959067,-0.21148797950394602,-0.23424222278556064,-0.23337309294573177,-0.22042054774304604,-0.1755796145322505,0,-1.2212820385676062,0
99,68,-0.22174938419768467,-0.23090441791045604,-0.18234450145792985,-0.211450105342128,-0.2346683568834363,-0.23361916681037903,-0.22139058667705244,-0.1755796145322505,0,-1.2212820385676062,0
60,68,-0.2276432774609909,-0.23038489721588337,-0.2013779452290873,-0.21155944720978442,-0.2327233050776281,-0.23095430251538862,-0.22167821664535683,-0.1755796145322505,0,-1.2212820385676062,0
21,84,-0.22865156461230415,-0.22984235592903487,-0.20370107391430756,-0.21159629774560734,-0.2341095641360935,-0.23294622629016404,-0.2211898564569033,-0.1755796145322505,0,-1.2212820385676062,0
148,52,-0.2153905414896169,-0.23068305025080293,-0.16256739905110992,-0.21109862939818053,-0.23686990438571487,-0.23628480842055646,-0.2221374736162678,-0.1755796145322505,0,-1.2212820385676062,0
109,86,-0.22611731389291884,-0.2308228576595939,-0.19586738183569252,-0.2111390160965319,-0.23359181718964064,-0.23279998381910963,-0.21954413099054268,-0.1755796145322505,0,-1.2212820385676062,0
70,81,-0.22427791889517293,-0.2308562975996101,-0.1905656571014042,-0.21121811446887911,-0.2335722271483068,-0.23256398824792215,-0.22018673823197177,-0.1755796145322505,0,-1.2212820385676062,0
31,64,-0.2176000503530215,-0.23094031643707857,-0.17032978401419618,-0.21029880526838743,-0.23488692982908438,-0.2337732762472059,-0.22180282760497563,-0.1755796145322505,0,-1.2212820385676062,0
163,60,-0.21571182882983111,-0.23109086731595985,-0.16675857318109888,-0.20941811468498292,-0.23253791960883588,-0.23048166807768647,-0.22237435741088526,-0.1755796145322505,0,-1.2212820385676062,0
125,87,-0.22315416752240919,-0.23105596487265695,-0.18870787669213446,-0.20840053738896347,-0.2319562718132703,-0.22977557104414778,-0.2221826450891296,-0.1755796145322505,0,-1.2212820385676062,0
