Date,region,4046,4225,4770,Total Volume
27-12-2015,Albany,8.16,88.59,0.0,989.55
20-12-2015,Albany,30.24,172.14,0.0,1163.03
13-12-2015,Albany,10.44,178.7,0.0,995.96
06-12-2015,Albany,90.29,104.18,0.0,1158.42
29-11-2015,Albany,0.0,94.73,0.0,831.69
22-11-2015,Albany,13.84,84.18,0.0,858.83
15-11-2015,Albany,20.71,238.16,0.0,1208.54
08-11-2015,Albany,20.08,351.4,0.0,1332.27
01-11-2015,Albany,11.47,137.58,0.0,1021.68
25-10-2015,Albany,49.27,148.96,0.0,1161.9
18-10-2015,Albany,10.31,158.07,0.0,969.29
11-10-2015,Albany,28.65,88.25,0.0,1170.01
04-10-2015,Albany,5.74,165.26,0.0,1145.88
27-09-2015,Albany,13.79,140.23,0.0,814.13
20-09-2015,Albany,42.63,228.13,0.0,774.2
13-09-2015,Albany,13.86,105.13,0.0,902.5
06-09-2015,Albany,30.13,96.18,0.0,1168.86
30-08-2015,Albany,17.27,65.08,0.0,1239.16
23-08-2015,Albany,24.45,97.82,0.0,1275.64
16-08-2015,Albany,24.56,168.41,0.0,1467.23
09-08-2015,Albany,79.82,106.81,0.0,1421.47
02-08-2015,Albany,17.66,103.62,0.0,1223.94
26-07-2015,Albany,99.16,165.27,0.0,1449.04
19-07-2015,Albany,50.86,112.36,0.0,1076.23
12-07-2015,Albany,34.27,92.17,0.0,1175.34
05-07-2015,Albany,50.69,183.9,0.0,1573.19
28-06-2015,Albany,22.35,124.7,0.0,1200.61
21-06-2015,Albany,17.59,107.87,0.0,1053.73
14-06-2015,Albany,79.45,211.46,0.0,1542.45
07-06-2015,Albany,25.6,125.66,0.0,1547.03
31-05-2015,Albany,82.3,105.49,0.0,1752.14
24-05-2015,Albany,24.09,183.55,0.0,1628.65
17-05-2015,Albany,19.51,213.43,0.0,1881.08
10-05-2015,Albany,46.8,523.9,0.0,2117.48
03-05-2015,Albany,57.93,130.62,0.0,1798.99
26-04-2015,Albany,27.01,30.53,0.0,929.61
19-04-2015,Albany,18.01,102.45,0.0,1516.24
12-04-2015,Albany,51.75,93.38,0.0,1634.59
05-04-2015,Albany,15.75,202.52,0.0,1526.1
29-03-2015,Albany,24.75,173.26,0.0,1082.44
22-03-2015,Albany,40.57,326.78,0.0,1375.02
15-03-2015,Albany,19.18,164.73,0.0,1473.56
08-03-2015,Albany,49.73,331.14,0.0,1626.32
01-03-2015,Albany,32.82,105.25,0.0,1663.35
22-02-2015,Albany,11.34,31.76,0.0,1152.33
15-02-2015,Albany,22.74,83.02,0.0,1182.3
08-02-2015,Albany,27.36,152.74,0.0,1770.87
01-02-2015,Albany,33.12,99.36,0.0,1228.51
25-01-2015,Albany,14.87,148.72,0.0,1115.89
18-01-2015,Albany,8.02,178.78,0.0,1118.47
11-01-2015,Albany,39.0,305.12,0.0,1182.56
04-01-2015,Albany,57.42,153.88,0.0,1373.95
27-12-2015,Atlanta,1366.31,1652.5,0.0,3195.0
20-12-2015,Atlanta,2000.64,1925.52,0.0,3973.64
13-12-2015,Atlanta,1589.39,1581.83,0.0,3610.91
06-12-2015,Atlanta,1358.53,1735.98,0.0,4400.25
29-11-2015,Atlanta,1340.82,2104.37,0.0,5205.88
22-11-2015,Atlanta,1766.22,2096.22,0.0,4015.99
15-11-2015,Atlanta,1643.11,1661.96,0.0,3888.18
08-11-2015,Atlanta,1904.89,2047.54,0.0,5317.73
01-11-2015,Atlanta,2074.17,2536.89,0.0,5445.08
25-10-2015,Atlanta,2441.49,2684.67,0.0,5476.77
18-10-2015,Atlanta,2169.0,2870.36,0.0,5657.95
11-10-2015,Atlanta,2387.77,3377.79,0.0,7279.83
04-10-2015,Atlanta,2743.66,3550.81,0.0,7423.5
27-09-2015,Atlanta,2232.51,3021.0,0.0,5392.63
20-09-2015,Atlanta,2378.64,3304.23,0.0,5705.15
13-09-2015,Atlanta,2340.17,3395.62,0.0,5891.89
06-09-2015,Atlanta,2522.07,3851.76,0.0,6736.29
30-08-2015,Atlanta,2349.53,3534.12,0.0,9298.19
23-08-2015,Atlanta,2493.75,3862.12,0.0,10342.09
16-08-2015,Atlanta,1953.69,3335.84,0.0,6627.48
09-08-2015,Atlanta,2291.03,2855.35,0.0,5579.38
02-08-2015,Atlanta,1981.77,2627.72,0.0,5792.88
26-07-2015,Atlanta,2286.67,2468.79,0.0,7888.45
19-07-2015,Atlanta,1571.09,2221.88,0.0,7641.69
12-07-2015,Atlanta,1501.4,2208.56,0.0,5946.34
05-07-2015,Atlanta,1577.43,2748.05,0.0,5744.26
28-06-2015,Atlanta,1896.92,2306.95,0.0,6313.67
21-06-2015,Atlanta,1804.59,2660.93,0.0,5003.46
14-06-2015,Atlanta,1646.73,2236.3,0.0,4484.76
07-06-2015,Atlanta,1467.61,1864.5,0.0,4096.05
31-05-2015,Atlanta,1744.63,2484.81,0.0,4803.11
24-05-2015,Atlanta,1705.34,2707.04,0.0,5464.3
17-05-2015,Atlanta,2076.48,2105.43,0.0,5157.67
10-05-2015,Atlanta,1878.0,2479.23,0.0,5067.95
03-05-2015,Atlanta,1325.62,2650.57,0.0,3976.19
26-04-2015,Atlanta,1627.63,2751.73,0.0,4447.09
19-04-2015,Atlanta,1820.12,4094.67,0.0,6705.06
12-04-2015,Atlanta,1899.54,4739.12,0.0,6687.31
05-04-2015,Atlanta,1595.31,3073.37,0.0,5558.81
29-03-2015,Atlanta,2016.24,2847.3,0.0,5076.62
22-03-2015,Atlanta,1891.11,4197.32,0.0,6483.98
15-03-2015,Atlanta,2004.93,9249.47,0.0,13985.95
