Original,Encoded,Attribute
01-01-2017,0,Date
01-02-2015,1,Date
01-03-2015,2,Date
01-05-2016,3,Date
01-10-2017,4,Date
01-11-2015,5,Date
02-04-2017,6,Date
02-07-2017,7,Date
02-08-2015,8,Date
02-10-2016,9,Date
03-01-2016,10,Date
03-04-2016,11,Date
03-05-2015,12,Date
03-07-2016,13,Date
03-09-2017,14,Date
03-12-2017,15,Date
04-01-2015,16,Date
04-02-2018,17,Date
04-03-2018,18,Date
04-06-2017,19,Date
04-09-2016,20,Date
04-10-2015,21,Date
04-12-2016,22,Date
05-02-2017,23,Date
05-03-2017,24,Date
05-04-2015,25,Date
05-06-2016,26,Date
05-07-2015,27,Date
05-11-2017,28,Date
06-03-2016,29,Date
06-08-2017,30,Date
06-09-2015,31,Date
06-11-2016,32,Date
06-12-2015,33,Date
07-01-2018,34,Date
07-02-2016,35,Date
07-05-2017,36,Date
07-06-2015,37,Date
07-08-2016,38,Date
08-01-2017,39,Date
08-02-2015,40,Date
08-03-2015,41,Date
08-05-2016,42,Date
08-10-2017,43,Date
08-11-2015,44,Date
09-04-2017,45,Date
09-07-2017,46,Date
09-08-2015,47,Date
09-10-2016,48,Date
10-01-2016,49,Date
10-04-2016,50,Date
10-05-2015,51,Date
10-07-2016,52,Date
10-09-2017,53,Date
10-12-2017,54,Date
11-01-2015,55,Date
11-02-2018,56,Date
11-03-2018,57,Date
11-06-2017,58,Date
11-09-2016,59,Date
11-10-2015,60,Date
11-12-2016,61,Date
12-02-2017,62,Date
12-03-2017,63,Date
12-04-2015,64,Date
12-06-2016,65,Date
12-07-2015,66,Date
12-11-2017,67,Date
13-03-2016,68,Date
13-08-2017,69,Date
13-09-2015,70,Date
13-11-2016,71,Date
13-12-2015,72,Date
14-01-2018,73,Date
14-02-2016,74,Date
14-05-2017,75,Date
14-06-2015,76,Date
14-08-2016,77,Date
15-01-2017,78,Date
15-02-2015,79,Date
15-03-2015,80,Date
15-05-2016,81,Date
15-10-2017,82,Date
15-11-2015,83,Date
16-04-2017,84,Date
16-07-2017,85,Date
16-08-2015,86,Date
16-10-2016,87,Date
17-01-2016,88,Date
17-04-2016,89,Date
17-05-2015,90,Date
17-07-2016,91,Date
17-09-2017,92,Date
17-12-2017,93,Date
18-01-2015,94,Date
18-02-2018,95,Date
18-03-2018,96,Date
18-06-2017,97,Date
18-09-2016,98,Date
18-10-2015,99,Date
18-12-2016,100,Date
19-02-2017,101,Date
19-03-2017,102,Date
19-04-2015,103,Date
19-06-2016,104,Date
19-07-2015,105,Date
19-11-2017,106,Date
20-03-2016,107,Date
20-08-2017,108,Date
20-09-2015,109,Date
20-11-2016,110,Date
20-12-2015,111,Date
21-01-2018,112,Date
21-02-2016,113,Date
21-05-2017,114,Date
21-06-2015,115,Date
21-08-2016,116,Date
22-01-2017,117,Date
22-02-2015,118,Date
22-03-2015,119,Date
22-05-2016,120,Date
22-10-2017,121,Date
22-11-2015,122,Date
23-04-2017,123,Date
23-07-2017,124,Date
23-08-2015,125,Date
23-10-2016,126,Date
24-01-2016,127,Date
24-04-2016,128,Date
24-05-2015,129,Date
24-07-2016,130,Date
24-09-2017,131,Date
24-12-2017,132,Date
25-01-2015,133,Date
25-02-2018,134,Date
25-03-2018,135,Date
25-06-2017,136,Date
25-09-2016,137,Date
25-10-2015,138,Date
